road,segmentNo,chainage,lat,lon
N1,14,49.269,23.5332493,90.81947159999999
N1,14,49.863,23.5346663,90.82497159999998
N1,14,49.879,23.534721899999997,90.8251104
N1,14,50.269,23.5344997,90.8287216
N1,14,51.269,23.529221600000003,90.83652740000001
N1,14,51.636,23.5270549,90.8391386
N1,14,52.269,23.523166,90.8438886
N1,14,53.269,23.5174993,90.8513889
N1,14,54.269,23.5170827,90.8607778
N1,14,55.269,23.5135833,90.8697771
N1,14,55.333,23.513305600000002,90.87030490000001
N1,14,55.375,23.5131111,90.8706382
N1,14,55.477,23.512666699999997,90.871416
N1,15,55.477,23.512666699999997,90.871416
N1,15,56.269,23.508805600000002,90.8778604
N1,15,57.269,23.506,90.8869163
N1,15,58.191,23.5056111,90.89588859999999
N1,15,58.269,23.5056389,90.8966108
N1,15,59.269,23.506277800000003,90.90638890000001
N1,15,60.18,23.50575,90.91525
N1,15,60.269,23.505722199999997,90.9160278
N1,15,61.269,23.505527800000003,90.92572159999999
N1,15,62.269,23.5042778,90.9354163
N1,15,62.278,23.504333300000003,90.93547190000001
N1,16,62.278,23.504333300000003,90.93547190000001
N1,16,62.542,23.5038611,90.9371386
N1,16,62.894,23.5028611,90.9412774
N1,16,63.269,23.5020278,90.9448886
N1,16,64.26899999999999,23.499527399999998,90.9541667
N1,16,65.26899999999999,23.498638600000003,90.96511109999999
N1,16,65.543,23.4980552,90.96602779999999
N1,16,65.726,23.497277399999998,90.9674716
N1,16,66.726,23.4942219,90.97655490000001
N1,16,67.42,23.495138600000004,90.9829993
N1,16,67.726,23.4942497,90.985833
N1,16,68.726,23.491138600000003,90.99502740000001
N1,16,69.616,23.489444100000004,91.0033056
N1,16,69.638,23.4893886,91.0034722
N1,17,69.638,23.4893886,91.0034722
N1,17,69.709,23.4896108,91.0043056
N1,17,70.443,23.4893052,91.01127779999999
N1,17,70.527,23.4890552,91.0120278
N1,17,70.557,23.4889441,91.01225
N1,17,70.755,23.488332999999997,91.0140833
N1,17,71.775,23.484638600000004,91.0229438
N1,17,72.775,23.4827771,91.03213819999999
N1,17,73.688,23.481166,91.0404441
N1,17,73.829,23.481471600000003,91.04197190000001
N1,17,74.7,23.4820827,91.0504167
N1,17,74.829,23.482138199999998,91.0516944
N1,17,75.589,23.4815271,91.0590278
N1,18,75.589,23.4815271,91.0590278
N1,18,75.829,23.4815549,91.06136109999998
N1,18,76.829,23.4801104,91.0706382
