road,segmentNo,width,nrLanes,Km
R685,4,5.771021912758548,2.0069629326233867,24.414999999999996
R685,5,5.909756779424101,2.0027956388034673,17.885000000000005
R710,1,7.104807605251245,2.0228157537347213,11.045
R710,2,8.4,2.0,3.130000000000001
R710,3,6.3106052585142045,2.0,28.334999999999997
R710,4,5.6,2.0,5.140000000000001
R710,5,5.7764276729559745,2.0,15.899999999999999
R710,6,5.76085774058577,2.0061192468619233,9.560000000000002
R711,1,4.296327160493827,1.5077160493827162,6.48
R712,1,3.701351351351352,1.0022522522522523,2.22
R713,1,5.482060717571296,1.9699172033118677,5.435
R720,1,5.525069134226761,1.961550733886407,47.01
R745,1,5.751383000201899,2.0129214617403592,9.906
R745,2,5.619016062001572,2.0,8.903
R745,3,5.646934900542496,2.0,11.059999999999999
R745,4,5.6,2.0,10.700000000000003
R745,5,5.6,2.0,8.054000000000002
R745,6,5.627066640609732,2.0,5.116999999999997
R745,7,6.337393003713113,2.0,25.585
R745,8,11.236842105263179,3.5980861244019264,1.0450000000000017
R745,9,6.1029113631103895,2.03452904420273,21.60499999999999
R745,10,5.6,2.0,13.0
R745,11,5.982550335570461,2.0,1.0429999999999922
R745,12,7.5,3.0,0.8000000000000114
R746,1,7.5516112716763,2.4068641618497106,13.84
R746,2,9.1,3.0,1.7959999999999994
R747,1,5.586959772693286,1.9674742036787796,13.374000000000002
R747,2,5.499999999999999,2.0,11.891
R747,3,5.899208921606328,2.004394879964841,18.203000000000003
R748,1,5.916076190476191,1.8044897959183672,18.375
R748,2,5.944135649925864,1.9517165342356384,26.303000000000004
R748,3,5.815168257157208,2.0,7.9639999999999915
R748,4,5.951937618147448,2.0,6.348000000000006
R748,5,5.591671503192109,1.8004933255948927,6.892000000000003
R749,1,4.8151713833714185,1.6248901388644754,28.445
R755,1,6.525093167701864,2.062111801242236,3.22
R755,2,5.60073861304883,2.0,9.748000000000001
R755,3,5.5,2.0,13.783999999999999
R755,4,5.619291235994092,2.0,11.513000000000002
R760,1,8.377681473456121,2.024918743228602,4.615
R760,2,6.1843158675041945,2.003316296671999,25.630999999999997
R760,3,6.38169038012317,2.082183053726906,28.254
R770,1,7.499568820224718,2.096488764044944,14.24
R770,2,7.46253015013537,2.0760521781934536,4.063000000000001
R770,3,5.829050594144309,2.0086977826779373,8.162999999999997
R770,4,5.89969881579848,2.0,14.609000000000005
R770,5,6.1052785923753605,2.0,1.7049999999999983
R771,1,4.184720603359616,1.3057593417895097,14.585
R771,2,4.702771919252787,1.5570955106959927,16.595
R802,1,5.764133333333333,1.6946666666666668,7.5
R810,1,8.257707558859975,2.0991325898389097,8.07
R810,2,9.781318040435464,3.035381026438571,2.572000000000001
R812,1,6.375332217737965,2.041145782065164,10.158999999999999
R812,2,5.859858772406304,2.0445410103204784,1.841000000000001
R812,3,5.432786885245902,1.6639344262295082,1.2200000000000006
R812,4,5.910473077584724,2.0302769654223294,29.064999999999994
R813,1,9.12886323268206,2.698638247483718,3.378
R820,1,6.249288464758078,2.1004520341536916,5.973
R820,2,5.5,2.0,4.1930000000000005
R820,3,5.700608055435252,2.0,11.544999999999998
R820,4,5.674164924506389,2.0,4.305
R820,5,5.728934885184019,2.0,15.895000000000003
R820,6,5.587802083333334,2.0,7.68
R820,7,5.556131019944868,2.0,6.167000000000002
R820,8,5.7758684178225055,2.0088376089358033,16.29399999999999
R850,1,5.2695070791819605,1.558730991085475,19.07
R850,2,5.580898876404496,1.558988764044944,16.020000000000003
R850,3,7.207715133531159,1.9925816023738876,3.3699999999999974
R850,4,5.4,1.5,6.369999999999997
R860,1,6.0127500000000005,2.015,6.0
R860,2,6.96068308181096,2.0154884829229545,2.517999999999999
R860,3,5.602399208508534,2.0,4.043000000000001
R860,4,6.702286860581747,2.2862587763289874,9.969999999999999
R860,5,6.274179790026246,2.0,6.096
R860,6,5.512087381398784,2.0,35.20199999999999
R860,7,5.538685793614063,2.003701989819527,10.805000000000007
R861,1,5.516294901506373,2.004345307068366,6.904
R870,1,5.588408644400786,2.0,9.671
R870,2,5.653846153846154,2.0,5.382
R870,3,5.6481655691439325,2.0,14.882
R870,4,5.0290446676640315,1.643371090688894,14.037000000000003
R870,5,5.5,2.0,7.5519999999999925
R870,6,5.5,2.0,2.3870000000000076
R870,7,5.5,2.0,9.345999999999997
R870,8,5.5,2.0,0.9949999999999974
R880,1,7.669128308885516,2.0084302815714046,11.862
R880,2,7.6000000000000005,2.0,9.681000000000003
R880,3,7.3972086899275835,2.0,7.594999999999999
R880,4,4.1869192537635955,1.2219260966649859,13.883
R880,5,5.315109782009917,1.6506649878019994,12.707
R881,1,6.003309058701964,2.0,40.646
R890,1,5.499999999999999,2.0,12.872
R890,2,5.5,2.0,4.013000000000002
R890,3,5.496967859308672,1.9969678593086722,24.734999999999996
R890,4,5.499999999999999,2.0,11.420000000000002
R890,5,5.5,2.0,20.740000000000002
R890,6,5.525710612769604,2.0,35.004999999999995
Z1001,1,3.9,1.0,11.165
Z1002,1,3.6,1.0,3.15
Z1002,2,4.071125098347758,1.1308680828743771,3.8129999999999993
Z1004,1,3.7733040614709106,1.0292718624222466,27.33
Z1005,1,3.6618332543818095,1.0,42.22
